package_id	expected_route	assigned_route	status	matched_required_count	required_count	missing_required_fields	candidate_full_routes	expected_matches_assigned
example_01_full_paired_response	monitoring_validation	monitoring_validation	matched	7	7		monitoring_validation	True
example_02_no_response_label	pharmacodynamic_context_only	pharmacodynamic_context_only	matched	3	3		pharmacodynamic_context_only	True
example_03_missing_baseline	monitoring_validation	monitoring_validation	partial_or_unscoreable	4	7	baseline_expression;module_gene_coverage;batch_QC_metadata		True
example_04_chr1_genotype_expression	chr1_target_resolution	chr1_target_resolution	matched	5	5		chr1_target_resolution	True
example_05_chr1_inhibitor_only	chr1_modality_workup	chr1_modality_workup	partial_or_unscoreable	2	5	resolved_candidate_gene;protective_direction;wrong_direction_controls		True
example_06_postpartum_ms_timed	postpartum_secondary_biology	postpartum_secondary_biology	matched	5	5		postpartum_secondary_biology	True
example_07_tb_no_composition	TB_secondary_monitoring	TB_secondary_monitoring	partial_or_unscoreable	2	4	cell_fraction_metadata;batch_QC_metadata		True
example_08_structure_only	structure_context_only	structure_context_only	matched	4	4		structure_context_only	True
example_09_terms_unclear	access_or_terms_blocked	access_or_terms_blocked	partial_or_unscoreable	1	3	license_or_terms;allowed_use_summary		True
example_10_aggregate_plot_only	metadata_only_or_aggregate_only	metadata_only_or_aggregate_only	partial_or_unscoreable	2	3	missing_sample_level_elements		True
