record_id	check	status	detail
claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	record_present_in_source_terms_coverage	PASS	knowledge_external/records/ra_sle_pregnancy_transcriptome_context.json
claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	coverage_source_terms_status_matches_current_record	PASS	current=present coverage=present
claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	coverage_checked_date_matches_current_record	PASS	current=2026-06-14 coverage=2026-06-14
claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	coverage_redistribution_allowed_matches_current_record	PASS	current=metadata_only coverage=metadata_only
claim.carlstrom_2019.dmf_monocyte_ros_response_context.2026-06-28	record_present_in_source_terms_coverage	PASS	knowledge_external/records/dmf_monocyte_ros_response_carlstrom_2019.json
claim.carlstrom_2019.dmf_monocyte_ros_response_context.2026-06-28	coverage_source_terms_status_matches_current_record	PASS	current=present coverage=present
claim.carlstrom_2019.dmf_monocyte_ros_response_context.2026-06-28	coverage_checked_date_matches_current_record	PASS	current=2026-06-28 coverage=2026-06-28
claim.carlstrom_2019.dmf_monocyte_ros_response_context.2026-06-28	coverage_redistribution_allowed_matches_current_record	PASS	current=metadata_only coverage=metadata_only
claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	record_present_in_source_terms_coverage	PASS	knowledge_external/records/ms_biomarker_heterogeneity_context.json
claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	coverage_source_terms_status_matches_current_record	PASS	current=present coverage=present
claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	coverage_checked_date_matches_current_record	PASS	current=2026-06-14 coverage=2026-06-14
claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	coverage_redistribution_allowed_matches_current_record	PASS	current=metadata_only coverage=metadata_only
claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	record_present_in_source_terms_coverage	PASS	knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json
claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	coverage_source_terms_status_matches_current_record	PASS	current=present coverage=present
claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	coverage_checked_date_matches_current_record	PASS	current=2026-06-14 coverage=2026-06-14
claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	coverage_redistribution_allowed_matches_current_record	PASS	current=metadata_only coverage=metadata_only
claim.dailymed.natalizumab_mechanism_context.2026-06-13	record_present_in_source_terms_coverage	PASS	knowledge_external/records/dmt_natalizumab_mechanism_label_context.json
claim.dailymed.natalizumab_mechanism_context.2026-06-13	coverage_source_terms_status_matches_current_record	PASS	current=present coverage=present
claim.dailymed.natalizumab_mechanism_context.2026-06-13	coverage_checked_date_matches_current_record	PASS	current=2026-06-14 coverage=2026-06-14
claim.dailymed.natalizumab_mechanism_context.2026-06-13	coverage_redistribution_allowed_matches_current_record	PASS	current=metadata_only coverage=metadata_only
claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	record_present_in_source_terms_coverage	PASS	knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json
claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	coverage_source_terms_status_matches_current_record	PASS	current=present coverage=present
claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	coverage_checked_date_matches_current_record	PASS	current=2026-06-14 coverage=2026-06-14
claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	coverage_redistribution_allowed_matches_current_record	PASS	current=metadata_only coverage=metadata_only
claim.diebold_2022.dmf_high_dimensional_immune_monitoring_context.2026-06-28	record_present_in_source_terms_coverage	PASS	knowledge_external/records/dmf_high_dimensional_immune_monitoring_diebold_2022.json
claim.diebold_2022.dmf_high_dimensional_immune_monitoring_context.2026-06-28	coverage_source_terms_status_matches_current_record	PASS	current=present coverage=present
claim.diebold_2022.dmf_high_dimensional_immune_monitoring_context.2026-06-28	coverage_checked_date_matches_current_record	PASS	current=2026-06-28 coverage=2026-06-28
claim.diebold_2022.dmf_high_dimensional_immune_monitoring_context.2026-06-28	coverage_redistribution_allowed_matches_current_record	PASS	current=metadata_only coverage=metadata_only
claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	record_present_in_source_terms_coverage	PASS	knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json
